ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11841064,JC448697,09/25/2019 11:00:00 PM,034XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0911,009,12,58,06,1158249,1882014,2019,10/02/2019 04:23:12 PM,41.831990039,-87.69486863,"(41.831990039, -87.69486863)",29,22248,55,638,1,43,23,96
11841921,JC449782,09/25/2019 11:00:00 PM,010XX W GRANVILLE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2433,024,48,77,07,1168019,1941344,2019,10/02/2019 04:23:12 PM,41.994590208,-87.657305497,"(41.994590208, -87.657305497)",40,4451,76,45,16,14,11,50
11841098,JC448719,09/25/2019 11:00:00 PM,052XX S KEDZIE AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SMALL RETAIL STORE,true,false,0923,009,14,63,18,1155937,1869636,2019,10/02/2019 04:23:12 PM,41.798070027,-87.70368447,"(41.798070027, -87.70368447)",49,22248,61,777,8,56,23,120
11842155,JC449221,09/25/2019 11:00:00 PM,019XX S SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,1024,010,24,29,14,1154670,1890305,2019,10/02/2019 04:23:12 PM,41.854813778,-87.707778926,"(41.854813778, -87.707778926)",36,21569,30,202,14,57,21,130
11841113,JC448672,09/25/2019 11:00:00 PM,079XX S ELLIS AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0624,006,8,44,08B,1184272,1852501,2019,10/02/2019 04:23:12 PM,41.750433485,-87.600311248,"(41.750433485, -87.600311248)",9,21546,40,247,35,61,20,227
11842080,JC448640,09/25/2019 11:00:00 PM,063XX N NOKOMIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1621,016,39,12,08B,1140189,1941997,2019,10/02/2019 04:23:12 PM,41.996939321,-87.759661741,"(41.996939321, -87.759661741)",34,22532,12,782,38,18,12,38
11840997,JC448658,09/25/2019 10:53:00 PM,036XX N SOUTHPORT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1923,019,44,6,14,1166321,1924347,2019,10/02/2019 04:23:12 PM,41.94798647,-87.664039935,"(41.94798647, -87.664039935)",38,21186,57,728,25,53,5,19
11841039,JC448629,09/25/2019 10:52:00 PM,047XX W MADISON ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,STREET,false,true,1113,011,28,25,04B,1144781,1899601,2019,10/02/2019 04:23:12 PM,41.880515138,-87.743841898,"(41.880515138, -87.743841898)",11,22216,26,696,23,32,16,90
11841159,JC448678,09/25/2019 10:47:00 PM,001XX E PEARSON ST,0560,ASSAULT,SIMPLE,HOTEL/MOTEL,false,false,1833,018,2,8,08A,1177694,1906077,2019,10/02/2019 04:23:12 PM,41.897601664,-87.622792233,"(41.897601664, -87.622792233)",22,21182,37,233,11,6,14,71
11841014,JC448623,09/25/2019 10:45:00 PM,052XX W LAKE ST,2017,NARCOTICS,MANU/DELIVER:CRACK,ALLEY,true,false,1523,015,37,25,18,1141214,1902043,2019,10/02/2019 04:23:12 PM,41.887282776,-87.756879522,"(41.887282776, -87.756879522)",11,22216,26,674,45,32,25,84
11841145,JC448644,09/25/2019 10:45:00 PM,024XX N HALSTED ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1935,019,43,7,07,1170530,1916545,2019,10/02/2019 04:23:12 PM,41.926486221,-87.648797692,"(41.926486221, -87.648797692)",51,21190,68,794,34,16,5,178
11840992,JC448627,09/25/2019 10:44:00 PM,007XX E BOWEN AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,false,false,0214,002,4,38,26,1181948,1877641,2019,10/02/2019 04:23:12 PM,41.819473958,-87.608050274,"(41.819473958, -87.608050274)",1,4301,4,583,10,36,24,104
11840974,JC448628,09/25/2019 10:40:00 PM,015XX S MILLARD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1014,010,24,29,18,1152291,1892258,2019,10/02/2019 04:23:12 PM,41.860220267,-87.71645944,"(41.860220267, -87.71645944)",36,21569,30,33,14,57,21,156
24768,JC448595,09/25/2019 10:36:00 PM,071XX S PERRY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0731,007,6,69,01A,1176637,1857536,2019,10/02/2019 04:23:12 PM,41.764425201,-87.628137962,"(41.764425201, -87.628137962)",31,21559,67,494,32,11,17,210
11841018,JC448642,09/25/2019 10:30:00 PM,064XX N LEAVITT ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2412,024,50,2,08B,1160469,1942760,2019,10/02/2019 04:23:12 PM,41.998635955,-87.685038361,"(41.998635955, -87.685038361)",42,22528,20,320,27,12,11,46
11841122,JC448664,09/25/2019 10:30:00 PM,019XX N AUSTIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2513,025,29,25,14,1136098,1912178,2019,10/02/2019 04:23:12 PM,41.915187259,-87.775425225,"(41.915187259, -87.775425225)",52,22615,26,597,7,2,6,196
11841214,JC448814,09/25/2019 10:30:00 PM,028XX W PETERSON AVE,0810,THEFT,OVER $500,STREET,false,false,2413,024,50,2,06,1156126,1939738,2019,10/02/2019 04:23:12 PM,41.990432573,-87.701097021,"(41.990432573, -87.701097021)",46,4450,20,65,24,50,2,57
11844840,JC453249,09/25/2019 10:30:00 PM,071XX S VINCENNES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0731,007,6,69,14,1176563,1857535,2019,10/02/2019 04:23:12 PM,41.764424122,-87.62840922,"(41.764424122, -87.62840922)",31,21559,67,494,32,11,17,210
11841939,JC449817,09/25/2019 10:30:00 PM,061XX S GREENWOOD AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,false,false,0314,003,20,42,26,1184389,1864487,2019,10/02/2019 04:23:12 PM,41.783321468,-87.599507785,"(41.783321468, -87.599507785)",53,22260,9,427,4,60,18,273
11841128,JC448695,09/25/2019 10:30:00 PM,045XX N LINCOLN AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1911,019,47,4,06,1160430,1930140,2019,10/02/2019 04:23:12 PM,41.964006962,-87.68553294,"(41.964006962, -87.68553294)",13,21849,6,667,18,20,5,10
11841203,JC448668,09/25/2019 10:30:00 PM,056XX S HALSTED ST,0810,THEFT,OVER $500,SIDEWALK,false,false,0712,007,20,68,06,1171932,1867463,2019,10/02/2019 04:23:12 PM,41.791770601,-87.645091743,"(41.791770601, -87.645091743)",53,21559,66,113,4,11,17,261
11841419,JC448899,09/25/2019 10:30:00 PM,106XX S EGGLESTON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2233,022,34,49,06,1175171,1834355,2019,10/02/2019 04:23:12 PM,41.700846342,-87.634201353,"(41.700846342, -87.634201353)",45,21861,45,525,22,19,9,258
11840973,JC448620,09/25/2019 10:30:00 PM,041XX S DREXEL BLVD,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0214,002,4,36,08A,1182973,1877464,2019,10/02/2019 04:23:12 PM,41.818964454,-87.604295718,"(41.818964454, -87.604295718)",1,4301,2,220,10,36,24,104
11841015,JC448605,09/25/2019 10:25:00 PM,060XX N WINTHROP AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2433,024,48,77,08A,1167768,1940214,2019,10/02/2019 04:23:12 PM,41.991494898,-87.658261552,"(41.991494898, -87.658261552)",40,4451,76,213,16,14,11,50
